Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~5|ReportField=ProjectFileName~Esima_E_Meter_CPU.PrjPCB|ReportField=ProjectFullPath~G:\06  Projekte\41  ES\314108 ESIMA @ BmbF\07 Layout & Konstruktion\01 Schaltpläne\ESIMA_PowerMetering\E_Meter\Esima_E_Meter_CPU\Esima_E_Meter_CPU.PrjPCB|ReportField=Title~Bill of Materials For Project [Esima_E_Meter_CPU.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~113|ReportField=ReportTime~11:40:25|ReportField=ReportDate~03.12.2015|ReportField=ReportDateTime~03.12.2015 11:40:25|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Wilhelm- Schickard- Strasse 10|ReportField=Address2~78052 Villingen Schwenningen|ReportField=Address3~juergen.merz@hsg-imit.de|ReportField=Address4~Tel. +49 7721 943 138|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~Jürgen Merz|ReportField=Engineer~|ReportField=FaxNumber~+49 7721 943 140|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PhoneNumber~+49 7721 943 138|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Esima E-Meter CPU Blockdiagramm|ReportField=DataSourceFileName~Esima_E_Meter_CPU.PrjPCB|ReportField=DataSourceFullPath~G:\06  Projekte\41  ES\314108 ESIMA @ BmbF\07 Layout & Konstruktion\01 Schaltpläne\ESIMA_PowerMetering\E_Meter\Esima_E_Meter_CPU\Esima_E_Meter_CPU.PrjPCB
100nF|CAPC1608 (C0603)|C1, C5, C6, C7, C9, C10, C13, C22, C23, C26|CAPC1608N|CAPC1608 (C0603)|10|AVX|02016D104KAT2A|Farnell|EUR|50|1657913|0,0506|52891|
4.7uF|CAPC1608 (C0603)|C2, C3, C4, C8, C11|CAPC1608N|CAPC1608 (C0603)|5|AVX|06036D475MAT2A|Farnell|EUR|25|1740638RL|0,221|5654|
0.47uF|CAPC1608 (C0603)|C12, C14|CAPC1608N|CAPC1608 (C0603)|2|AVX|0603YD474KAT2A|Farnell|EUR|10|1327682|0,0797|9794|
na|CAPC1608 (C0603)|C15, C16, C17, C18|CAPC1608N|CAPC1608 (C0603)|4|||||||||
2.2nF|CAPC1608 (C0603)|C19|CAPC1608N|CAPC1608 (C0603)|1|AVX|0201ZC222KAT2A|Farnell|EUR|5|1657921||16620|
10nF|CAPC1608 (C0603)|C20|CAPC1608N|CAPC1608 (C0603)|1|AVX|0201ZC103KAT2A|Farnell|EUR|5|1657919||72651|
4.7uF||C21|Cap Tant Pol Form B|Cap Tant Pol Form B|1|VISHAY|293D106X96R3B2TE3|Farnell|EUR|5|2353051|0,58|1621|
10uF/16V|Cap Tant Pol Form A|C24, C25|Cap Tant Pol Form A|Cap Tant Pol Form A|2|KEMET|C1206C105Z3VACTU|Farnell|EUR|10|9227873RL|0,0952|8498|
1uF|CAPC2012 (C0805)|C27, C28, C29, C30|CAPC2012N|CAPC2012 (C0805)|4|KEMET|C1206C105Z3VACTU|Farnell, Farnell, Farnell, [NoValue]|EUR|20|9227873RL, 9227873RL, 9227873RL, [NoValue]|0,0952|8498|
BAS40-05W|Diode Schottky Dual SOT-323 (SC70)|D1, D2, D3|SOT-323N (SC-70)|BAS40-05W|3|NXP|BAS40-05W|Farnell|EUR|15|8734330|0,088|7810|
MSP430F6779APZ|Mikroprozessor 16bit Polyphase Metering|IC1|TI-PZ100_N|MSP430F6779AIPZ|1|Texas Instruments|MSP430F6779IPZ|Mouser|EUR|5|595-MSP430F6779IPZ|11,56|160|57,8
TPS78930|Voltageregulator low Current|IC2|TI-DBV5 (SOT23-5)|TPS78930|1|TEXAS INSTRUMENTS|TPS78930DBVT|Farnell|EUR|5|8461732|0,4936|247|
HCPL-0453-500E|High Speed Optocoupler SO8|IC3, IC4|SOIC127P600-8N|PS8802|2|Avago Technologies|HCPL-0453-500E|Mouser|EUR|10|630-HCPL-0453-500E|1,88|1968|18,8
EA DOGS102x-6|LCD Graphic Display 102*64 Dots SPI-Interface|IC5|EA DOGS102x-6|EA DOGS102x-6|1|ELECTRONIC ASSEMBLY|EA DOGS102W-6|Mouser|EUR|5|790-EADOGS102W-6|17,07|1239|85,35
