Field=#~Integer~#~50|Field=Quantity~Integer~Quantity~100|Field=Designator~String~Designator~100|Field=Comment~String~Comment~100|Field=Value~String~Value~100|Field=07_Lieferant~String~07_Lieferant~100|Field=08_Lieferanten_Nummer~String~08_Lieferanten_Nummer~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ESIMA_EIS_V1_1.PrjPcb|ReportField=ProjectFullPath~G:\06  Projekte\41  ES\314108 ESIMA @ BmbF\07 Layout & Konstruktion\01 Schaltpläne\ESIMA_EIS\ESIMA_EIS_V1_1.PrjPcb|ReportField=Title~Bill of Materials For Project [ESIMA_EIS_V1_1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~140|ReportField=ReportTime~14:46:56|ReportField=ReportDate~16.03.2016|ReportField=ReportDateTime~16.03.2016 14:46:56|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Wilhelm-Schickard-Str. 10|ReportField=Address2~78052 Villingen-Schwenningen|ReportField=Address3~Bernd.Ehrbrecht@Hahn-Schickard.de|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~14.03.2016|ReportField=CurrentTime~11:10:31|ReportField=Date~|ReportField=DocumentFullPathAndName~G:\06  Projekte\41  ES\314108 ESIMA @ BmbF\07 Layout & Konstruktion\01 Schaltpläne\ESIMA_EIS\EIS_Main.SchDoc|ReportField=DocumentName~EIS_Main.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=E-Mail~Xxxx.Xxxx@Hahn-Schickard.de|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~14.03.2016|ReportField=Organization~Hahn-Schickard|ReportField=PhoneNumber~0 7721 943 137|ReportField=ProjectName~ESIMA_EIS_V1_1.PrjPcb|ReportField=Revision~1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Subtitle~|ReportField=Time~|ReportField=Title~EIS: Main|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=FaxNumber~+49 7721 943 210|ReportField=IsUserConfigurable~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.97:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4:PaperIndex=9|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~ESIMA_EIS_V1_1.PrjPcb|ReportField=DataSourceFullPath~G:\06  Projekte\41  ES\314108 ESIMA @ BmbF\07 Layout & Konstruktion\01 Schaltpläne\ESIMA_EIS\ESIMA_EIS_V1_1.PrjPcb
1|4|C100, C201, C202, C207|10nF||Digi-Key|399-1091-1-ND||CAPC1608N
2|1|C101|1nF||Digi-Key|399-1082-1-ND||CAPC1608N
3|18|C102, C104, C106, C116, C117, C118, C121, C200, C205, C206, C300, C301, C306, C307, C308, C500, C503, C507|100nF||Digi-Key|399-1096-1-ND|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], Ceramic Chip Capacitor - Standard, Ceramic Chip Capacitor - Standard, [NoValue]|CAPC1608N
4|5|C103, C119, C120, C203, C204|10uF||Digi-Key|490-7201-1-ND||CAPC1608N
5|4|C105, C107, C108, C111|n.c.|||||CAPC1608N
6|4|C109, C113, C114, C208|220nF||Digi-Key|445-1318-1-ND||CAPC1608N
7|2|C110, C303|470nF||Digi-Key|445-5152-1-ND|[NoValue], Ceramic Chip Capacitor - Standard|CAPC1608N
8|1|C112|4.7nF||Digi-Key|1276-1098-1-ND||CAPC1608N
9|3|C115, C209, C212|4.7uF||Digi-Key|1276-2087-1-ND||CAPC1608N
10|1|C210|2.2uF||Digi-Key|587-3386-1-ND||CAPC1608N
11|1|C211|47pF||Digi-Key|1276-1037-1-ND||CAPC1608N
12|1|C213|1uF||Digi-Key|1276-1946-1-ND||CAPC1608N
13|4|C302, C304, C305, C504|10uF / 16V|10uF / 16V|Digi-Key|490-6473-1-ND|Ceramic Chip Capacitor - Standard|CAPC2012N
14|1|C501|4.7uF|4.7uF|Digi-Key|490-6475-1-ND|Ceramic Chip Capacitor - Standard|CAPC2012N
15|1|C502|4.7uF / 25V|4u7|Digi-Key|478-2408-6-ND|Polarized Capacitor (Surface Mount)|C1210
16|2|C505, C506|10pF||Digi-Key|399-1049-1-ND||CAPC1608N
17|1|D100|ge||Farnell|1226427||LED-Gelb
18|1|D101|gn||Farnell|1226397||LED-gruen
19|1|IC200|TPS76930||Farnell|1703394|Low Output, Adjustable, Ultralow-Power, 100-mA Low Dropout Linear Regulator|TI-DBV5 (SOT23-5)
20|1|IC300|BQ27210||Digi-Key|296-21511-1-ND|i-Ion AND Li-Pol BATTERY GAS GAUGE IC FOR PORTABLE APPLICATIONS|TI-DRK-PVSON
21|1|IC400|CC2530EM (Samtec Stecker)||Samtec|TFM-110-02-S-D-A|CC2530EM Referenzdesign, Samtec TFM-110-02-S-D-A|CC2400EM_Board
22|1|IC500|TVS 5||Farnell|1825875||SOT23-6
23|1|J300|PWR2.5||Digi-Key|732-5923-ND|Low Voltage Power Supply Connector|WE_694102304002
24|1|L200|Inductor|33uH|Digi-Key|587-2501-1-ND|Inductor|RESC2012N
25|1|L201|15uH|15uH|Digi-Key|490-4060-6-ND|Inductor|INDC3225N
26|1|LOGO1|Hahn-Schickard-Logo||||Hahn-Schickard Logo als Footprint|Hahn-Schickard-LOGO_klein
27|1|NOFP300|No-Footprint|Akku|Farnell|2401853|Dummy-Bauteil, um Zusatzbestellungen in die BOM einzutragen|No_Footprint
