% Messparameter LVDT-Messung
%
% Version PC-Software: 1.0.4.20488
% Firmware MCU: GP22_V1.0.0
% GP22-Konfigurationsregister:
% Register 00: F3C5E801
% Register 01: 21420000
% Register 02: 20000000
% Register 03: 18000000
% Register 04: 10000000
% Register 05: 40000000
% Register 06: 00006000
% DDS-Frequenz [Hz]: 1000000
% TDC-Clock [Hz]: 4000000
% Offset: 0
% Messdatum: 09.11.2017 16:14:11
%
% Zeit LVDT Status
0.0000 50.766449 0x0000
0.0250 48.566437 0x0000
0.2350 50.071564 0x0000
0.4100 50.388794 0x0000
0.6090 50.429993 0x0000
0.8090 50.196533 0x0000
1.0130 50.736237 0x0000
1.2100 50.699158 0x0000
1.4150 49.443970 0x0000
1.6850 50.156708 0x0000
1.8770 50.085297 0x0000
2.0180 49.928741 0x0000
2.2190 50.326996 0x0000
2.4200 50.152588 0x0000
2.6230 49.983673 0x0000
2.8220 49.529114 0x0000
3.0240 51.367950 0x0000
3.2250 49.367065 0x0000
3.4270 50.695038 0x0000
3.6990 50.331116 0x0000
3.9130 50.331116 0x0000
4.0230 50.788422 0x0000
4.2320 50.372314 0x0000
4.4300 50.372314 0x0000
4.6270 50.079803 0x0000
4.8320 50.718384 0x0000
5.0330 49.448090 0x0000
5.2360 49.107513 0x0000
5.4350 48.963318 0x0000
5.6330 49.299774 0x0000
5.8370 50.344849 0x0000
6.0380 49.216003 0x0000
6.2410 50.586548 0x0000
6.4410 49.779053 0x0000
6.6410 49.608765 0x0000
6.8420 47.573547 0x0000
7.0450 49.964447 0x0000
7.2440 50.273438 0x0000
7.4450 49.792786 0x0000
7.6420 49.883423 0x0000
7.8470 49.879303 0x0000
8.0490 50.116882 0x0000
8.2490 50.233612 0x0000
8.4500 50.295410 0x0000
8.6510 49.978180 0x0000
8.8520 50.061951 0x0000
9.0550 50.505524 0x0000
9.2540 49.255829 0x0000
9.4550 49.089661 0x0000
9.7200 50.269318 0x0000
9.9040 49.287415 0x0000
10.1410 50.295410 0x0000
10.2550 50.622253 0x0000
10.4600 49.838104 0x0000
10.6610 50.983429 0x0000
10.8640 50.178680 0x0000
11.0630 49.439850 0x0000
11.2640 49.541473 0x0000
11.4650 50.495911 0x0000
11.6620 50.722504 0x0000
11.8690 49.632111 0x0000
12.0680 49.487915 0x0000
12.2700 50.703278 0x0000
12.4710 50.592041 0x0000
12.6710 50.147095 0x0000
12.8740 51.491547 0x0000
13.0730 50.103149 0x0000
13.2740 49.923248 0x0000
13.4750 49.909515 0x0000
13.7340 49.474182 0x0000
13.8740 50.942230 0x0000
14.0780 49.901276 0x0000
14.2790 48.945465 0x0000
14.4800 50.321503 0x0000
14.6810 50.675812 0x0000
14.8830 49.340973 0x0000
15.0830 49.496155 0x0000
15.2840 51.061707 0x0000
15.4850 50.335236 0x0000
15.7580 50.277557 0x0000
15.8860 49.600525 0x0000
16.0880 53.294678 0x0000
16.2920 50.333862 0x0000
16.4900 50.273438 0x0000
16.6920 50.291290 0x0000
16.8920 50.237732 0x0000
17.0930 50.487671 0x0000
17.2940 49.075928 0x0000
17.4950 49.974060 0x0000
17.6970 50.156708 0x0000
17.8970 50.519257 0x0000
18.0980 50.202026 0x0000
18.2990 50.326996 0x0000
18.5000 50.093536 0x0000
18.7020 50.057831 0x0000
18.9020 50.717010 0x0000
19.1040 51.300659 0x0000
19.3040 51.516266 0x0000
19.5060 52.235870 0x0000
19.7710 49.703522 0x0000
19.9570 50.093536 0x0000
20.1040 49.593658 0x0000
20.3110 49.487915 0x0000
20.5060 50.243225 0x0000
20.7110 50.052338 0x0000
20.9120 50.592041 0x0000
21.1130 50.865326 0x0000
21.3150 50.196533 0x0000
21.5150 49.825745 0x0000
21.7800 50.932617 0x0000
21.9650 50.119629 0x0000
22.1250 47.286530 0x0000
22.3200 50.277557 0x0000
22.5200 50.291290 0x0000
22.7210 49.030609 0x0000
22.9220 50.000153 0x0000
23.1240 50.532990 0x0000
23.3240 50.206146 0x0000
23.5250 50.155334 0x0000
23.8030 49.663696 0x0000
23.9800 52.334747 0x0000
24.1290 49.582672 0x0000
24.3290 50.439606 0x0000
24.5300 49.183044 0x0000
24.7320 49.976807 0x0000
24.9340 49.842224 0x0000
25.1340 50.568695 0x0000
25.3340 50.204773 0x0000
25.5350 49.968567 0x0000
25.8380 50.506897 0x0000
25.9370 48.142090 0x0000
26.1380 50.479431 0x0000
26.3390 50.765076 0x0000
26.5400 50.483551 0x0000
26.7420 50.228119 0x0000
26.9420 49.487915 0x0000
27.1400 50.944977 0x0000
27.3440 50.166321 0x0000
27.5460 49.174805 0x0000
27.7480 50.645599 0x0000
27.9480 50.972443 0x0000
28.1450 49.990540 0x0000
28.3500 50.410767 0x0000
28.5520 50.807648 0x0000
28.7510 49.398651 0x0000
28.9520 49.406891 0x0000
29.1530 50.630493 0x0000
29.3540 50.471191 0x0000
29.5570 50.160828 0x0000
29.8260 50.424500 0x0000
30.0110 49.869690 0x0000
30.1540 50.788422 0x0000
30.3610 50.527496 0x0000
30.5600 47.157440 0x0000
30.7620 50.089417 0x0000
30.9630 50.946350 0x0000
31.1650 51.698914 0x0000
31.3650 49.566193 0x0000
31.5650 51.026001 0x0000
31.8350 50.348969 0x0000
32.0240 49.735107 0x0000
32.1650 49.923248 0x0000
32.3690 49.798279 0x0000
32.5700 49.820251 0x0000
32.7710 50.250092 0x0000
32.9740 50.515137 0x0000
33.1730 50.524750 0x0000
33.3740 49.774933 0x0000
33.5750 51.043854 0x0000
33.8440 50.456085 0x0000
33.9740 50.469818 0x0000
34.1790 50.857086 0x0000
34.3800 50.798035 0x0000
34.5810 49.717255 0x0000
34.7820 51.429749 0x0000
34.9820 49.743347 0x0000
35.1830 49.803772 0x0000
35.3840 50.202026 0x0000
35.5850 50.192413 0x0000
35.7870 49.743347 0x0000
35.9870 49.290161 0x0000
36.1880 48.703766 0x0000
36.3890 50.151215 0x0000
36.5940 51.030121 0x0000
36.7910 50.425873 0x0000
36.9920 50.214386 0x0000
37.1930 50.896912 0x0000
37.3950 49.887543 0x0000
37.5990 50.891418 0x0000
37.7920 50.528870 0x0000
37.9970 50.461578 0x0000
38.1980 50.088043 0x0000
38.4010 49.063568 0x0000
38.6000 41.238556 0x0000
38.8030 49.994659 0x0000
39.0020 50.263824 0x0000
39.2030 50.104523 0x0000
39.4810 50.256958 0x0000
39.6010 50.456085 0x0000
39.8680 49.924622 0x0000
40.0580 50.184174 0x0000
40.2130 50.361328 0x0000
40.4100 50.309143 0x0000
40.6100 49.886169 0x0000
40.8110 49.283295 0x0000
41.0140 49.358826 0x0000
41.2140 50.586548 0x0000
41.4140 50.609894 0x0000
41.6150 50.619507 0x0000
41.8920 50.134735 0x0000
42.0150 50.030365 0x0000
42.2180 50.223999 0x0000
42.4190 49.998779 0x0000
42.6200 50.675812 0x0000
42.8220 49.978180 0x0000
43.0180 51.362457 0x0000
43.2190 49.421997 0x0000
43.4240 49.129486 0x0000
43.6250 50.016632 0x0000
43.8280 50.461578 0x0000
44.0270 50.594788 0x0000
44.2280 49.654083 0x0000
44.4290 50.523376 0x0000
44.6300 51.242981 0x0000
44.8320 49.851837 0x0000
45.0320 48.290405 0x0000
45.2330 50.667572 0x0000
45.4360 50.810394 0x0000
45.6370 50.648346 0x0000
45.9010 50.188293 0x0000
46.0880 50.506897 0x0000
46.2340 50.200653 0x0000
46.4430 49.846344 0x0000
46.6360 49.161072 0x0000
46.8410 50.651093 0x0000
47.0430 49.743347 0x0000
47.2430 50.142975 0x0000
47.4490 50.202026 0x0000
47.6450 48.810883 0x0000
47.9140 50.278931 0x0000
48.0980 49.909515 0x0000
48.2510 51.572571 0x0000
48.4490 52.340240 0x0000
48.6470 50.511017 0x0000
48.8510 50.144348 0x0000
49.0520 50.972443 0x0000
49.2550 50.039978 0x0000
49.4550 50.008392 0x0000
49.6560 49.883423 0x0000
49.9250 49.762573 0x0000
50.1100 50.202026 0x0000
50.2540 50.326996 0x0000
50.4590 50.200653 0x0000
50.6570 51.061707 0x0000
50.8610 49.232483 0x0000
51.0640 51.089172 0x0000
51.2630 48.865814 0x0000
51.4640 49.596405 0x0000
51.6650 50.828247 0x0000
51.9360 49.990540 0x0000
52.0640 50.515137 0x0000
52.2680 50.075684 0x0000
52.4690 50.545349 0x0000
52.6700 50.004272 0x0000
52.8730 49.810638 0x0000
53.0730 50.103149 0x0000
53.2740 49.989166 0x0000
53.4740 49.784546 0x0000
53.6750 49.766693 0x0000
53.9520 49.846344 0x0000
54.0750 51.545105 0x0000
54.2780 50.018005 0x0000
54.4790 50.493164 0x0000
54.6800 50.329742 0x0000
54.8830 50.342102 0x0000
55.0830 50.603027 0x0000
55.2830 50.105896 0x0000
55.4840 50.233612 0x0000
55.6850 49.779053 0x0000
55.9550 49.964447 0x0000
56.1450 50.796661 0x0000
56.2840 50.572815 0x0000
56.4890 52.506409 0x0000
56.6900 50.609894 0x0000
56.8930 50.752716 0x0000
57.0920 50.030365 0x0000
57.2930 50.326996 0x0000
57.4940 50.531616 0x0000
57.6950 49.743347 0x0000
57.8980 50.449219 0x0000
58.0970 50.218506 0x0000
58.2980 50.550842 0x0000
58.4990 50.344849 0x0000
58.7020 50.039978 0x0000
58.9010 50.096283 0x0000
59.1030 50.147095 0x0000
59.3040 50.206146 0x0000
59.5050 50.083923 0x0000
59.7070 50.550842 0x0000
59.9030 52.631378 0x0000
60.1070 50.372314 0x0000
60.3080 49.626617 0x0000
60.5090 51.222382 0x0000
60.7120 48.452454 0x0000
60.9110 50.738983 0x0000
61.1120 48.563690 0x0000
61.3130 49.483795 0x0000
61.5140 50.984802 0x0000
61.7930 50.186920 0x0000
61.9120 50.541229 0x0000
62.1170 49.805145 0x0000
62.3180 50.269318 0x0000
62.5210 49.770813 0x0000
62.7200 50.258331 0x0000
62.9210 50.752716 0x0000
63.1220 50.928497 0x0000
63.3230 50.550842 0x0000
63.5250 50.313263 0x0000
63.7250 49.986420 0x0000
64.0050 50.295410 0x0000
64.1860 51.087799 0x0000
64.3250 48.300018 0x0000
64.5290 49.205017 0x0000
64.7300 50.112762 0x0000
64.9310 49.617004 0x0000
65.1340 51.021881 0x0000
65.3340 49.989166 0x0000
65.5350 49.921875 0x0000
65.7360 49.654083 0x0000
66.0040 50.219879 0x0000
66.1340 50.703278 0x0000
66.3390 50.548096 0x0000
66.5390 50.089417 0x0000
66.7400 49.796906 0x0000
66.9430 47.518616 0x0000
67.1420 49.614258 0x0000
67.3430 50.416260 0x0000
67.5440 49.895782 0x0000
67.7410 50.568695 0x0000
67.9470 49.570313 0x0000
68.1490 50.766449 0x0000
68.3500 50.464325 0x0000
68.5450 50.071564 0x0000
68.7520 49.726868 0x0000
68.9510 49.416504 0x0000
69.1570 48.654327 0x0000
69.3500 50.354462 0x0000
69.5500 50.138855 0x0000
69.8230 50.012512 0x0000
69.9520 50.461578 0x0000
70.1570 50.780182 0x0000
70.3580 50.564575 0x0000
70.5590 50.192413 0x0000
70.7610 50.348969 0x0000
70.9610 49.810638 0x0000
71.1620 50.450592 0x0000
71.3630 50.752716 0x0000
71.5660 49.497528 0x0000
71.7650 50.182800 0x0000
72.0310 50.568695 0x0000
72.2170 50.182800 0x0000
72.3650 49.689789 0x0000
72.5690 50.289917 0x0000
