% Messparameter LVDT-Messung
%
% Version PC-Software: 1.0.4.20488
% Firmware MCU: GP22_V1.0.0
% GP22-Konfigurationsregister:
% Register 00: F3C5E801
% Register 01: 21420000
% Register 02: 20000000
% Register 03: 18000000
% Register 04: 10000000
% Register 05: 40000000
% Register 06: 00006000
% DDS-Frequenz [Hz]: 1000000
% TDC-Clock [Hz]: 4000000
% Offset: 0
% Messdatum: 09.11.2017 16:02:58
%
% Zeit LVDT Status
0.0000 259.727783 0x0000
0.0110 262.185974 0x0000
0.2110 263.261261 0x0000
0.4110 261.863251 0x0000
0.6130 262.273865 0x0000
0.8070 261.341400 0x0000
1.0090 261.309814 0x0000
1.2150 261.157379 0x0000
1.4150 262.857513 0x0000
1.6990 263.097839 0x0000
1.8660 261.485596 0x0000
2.0180 261.703949 0x0000
2.2190 262.721558 0x0000
2.4210 261.624298 0x0000
2.6230 263.045654 0x0000
2.8220 26.185913 0x0000
3.0200 262.512817 0x0000
3.2190 262.803955 0x0000
3.4250 262.093964 0x0000
3.6280 261.351013 0x0000
3.8270 261.761627 0x0000
4.0280 263.095093 0x0000
4.2290 260.676727 0x0000
4.4320 262.479858 0x0000
4.6310 262.663879 0x0000
4.8320 262.764130 0x0000
5.0330 267.471771 0x0000
5.2350 261.002197 0x0000
5.4360 264.852905 0x0000
5.7030 262.792969 0x0000
5.8850 260.421295 0x0000
6.0380 263.082733 0x0000
6.2410 262.823181 0x0000
6.4390 264.201965 0x0000
6.6360 261.301575 0x0000
6.8370 263.445282 0x0000
7.0430 262.540283 0x0000
7.2460 262.452393 0x0000
7.4450 260.930786 0x0000
7.6480 263.273621 0x0000
7.8470 262.812195 0x0000
8.0470 262.449646 0x0000
8.2510 263.592224 0x0000
8.4490 262.040405 0x0000
8.6510 265.149536 0x0000
8.8510 261.628418 0x0000
9.0530 30.584564 0x0000
9.2550 262.610321 0x0000
9.4570 264.284363 0x0000
9.6690 263.454895 0x0000
9.8590 262.164001 0x0000
10.0600 263.448029 0x0000
10.2590 262.766876 0x0000
10.4600 260.621796 0x0000
10.6610 262.762756 0x0000
10.8580 263.296967 0x0000
11.0650 261.327667 0x0000
11.2640 263.443909 0x0000
11.4650 262.380981 0x0000
11.7370 261.826172 0x0000
11.9180 260.874481 0x0000
12.0760 262.986603 0x0000
12.2690 260.950012 0x0000
12.4700 261.956635 0x0000
12.6710 263.144531 0x0000
12.8740 262.131042 0x0000
13.0700 262.011566 0x0000
13.2740 262.493591 0x0000
13.4750 264.660645 0x0000
13.7760 261.771240 0x0000
13.8750 261.747894 0x0000
14.0780 261.749268 0x0000
14.2790 262.394714 0x0000
14.4800 260.525665 0x0000
14.6810 262.600708 0x0000
14.8840 263.435669 0x0000
15.0830 263.746033 0x0000
15.2840 263.063507 0x0000
15.4850 263.000336 0x0000
15.6820 262.106323 0x0000
15.9440 262.260132 0x0000
16.0840 263.262634 0x0000
16.2900 261.708069 0x0000
16.4860 262.931671 0x0000
16.6920 262.537537 0x0000
16.8940 262.184601 0x0000
17.0930 261.830292 0x0000
17.2940 262.286224 0x0000
17.4950 263.457642 0x0000
17.7630 263.170624 0x0000
17.8940 262.661133 0x0000
18.0980 266.108093 0x0000
18.2990 263.274994 0x0000
18.5000 24.921112 0x0000
18.7010 262.400208 0x0000
18.9040 261.241150 0x0000
19.1040 261.517181 0x0000
19.3040 261.660004 0x0000
19.5770 261.319427 0x0000
19.7040 262.884979 0x0000
19.9090 262.143402 0x0000
20.1090 263.130798 0x0000
20.3440 262.390594 0x0000
20.5110 262.236786 0x0000
20.7130 262.324677 0x0000
20.9080 261.046143 0x0000
21.1140 261.658630 0x0000
21.3150 262.766876 0x0000
21.5940 261.213684 0x0000
21.7140 261.386719 0x0000
21.9180 263.235168 0x0000
22.1190 262.808075 0x0000
22.3200 263.982239 0x0000
22.5230 261.606445 0x0000
22.7220 262.275238 0x0000
22.9200 263.014069 0x0000
23.1240 264.320068 0x0000
23.3250 262.275238 0x0000
23.6190 263.831177 0x0000
23.7780 261.995087 0x0000
23.9280 262.687225 0x0000
24.1290 262.640533 0x0000
24.3300 260.753632 0x0000
24.5330 260.680847 0x0000
24.7320 262.063751 0x0000
24.9330 261.570740 0x0000
25.1340 262.029419 0x0000
25.3370 265.970764 0x0000
25.6180 266.193237 0x0000
25.7900 261.329041 0x0000
25.9340 262.415314 0x0000
26.1390 262.847900 0x0000
26.3420 261.448517 0x0000
26.5370 264.152527 0x0000
26.7420 262.863007 0x0000
26.9430 263.104706 0x0000
27.1440 262.952271 0x0000
27.4170 264.450531 0x0000
27.5410 265.284119 0x0000
27.7470 262.335663 0x0000
27.9480 265.753784 0x0000
28.1490 262.615814 0x0000
28.3510 262.920685 0x0000
28.5510 261.933289 0x0000
28.7520 261.330414 0x0000
28.9530 263.490601 0x0000
29.1540 262.063751 0x0000
29.4280 262.794342 0x0000
29.5520 262.710571 0x0000
29.7570 262.500458 0x0000
29.9580 261.508942 0x0000
30.1590 262.288971 0x0000
