% Messparameter LVDT-Messung
%
% Version PC-Software: 1.0.4.27379
% Firmware MCU: GP22_V1.0.0
% GP22-Konfigurationsregister:
% Register 00: 03C5EA01
% Register 01: 21420000
% Register 02: 20000000
% Register 03: 18000000
% Register 04: 10000000
% Register 05: 40000000
% Register 06: 00006000
% DDS-Frequenz [Hz]: 400000
% TDC-Clock [Hz]: 4000000
% Offset: -1,149
% Faktor [mm/µs]: 2740
% Anzahl 'M' der Messwerte für Mittelwert: 10
% Grenze 'G' für Abweichung vom vorherigen Wert, ab der korrigiert wird [µs]*: 1,1
% * Tatsächlich verwendeter Wert ist: G/M. **AK ist die Anzahl korrigierter Werte.
% Messdatum: 10.11.2017 15:17:28
%
% Zeit LVDT Weg AK** Status
0.0000 0.021109 57,838099 0 0x0000
0.0430 0.022165 60,733378 0 0x0000
0.2420 0.022535 61,747248 0 0x0000
0.4240 0.021860 59,897196 0 0x0000
0.6100 0.022574 61,851771 0 0x0000
0.8110 0.021078 57,754481 0 0x0000
1.0210 0.021273 58,287546 0 0x0000
1.2120 0.023840 65,321924 0 0x0000
1.4200 0.021738 59,562723 0 0x0000
1.6160 0.020132 55,162318 0 0x0000
1.8310 0.020315 55,664026 0 0x0000
2.0200 0.023920 65,541422 0 0x0000
2.2210 0.020132 55,162318 0 0x0000
2.4190 0.027231 74,613993 0 0x0000
2.6550 0.020514 56,207545 0 0x0000
2.8200 0.022268 61,015589 0 0x0000
3.1160 0.021929 60,085337 0 0x0000
3.2500 0.021357 58,517496 0 0x0000
3.4290 0.020979 57,482722 0 0x0000
3.6260 0.021555 59,061014 0 0x0000
3.8290 0.022101 60,555689 0 0x0000
4.0330 0.019877 54,462015 0 0x0000
4.2280 0.022074 60,482523 0 0x0000
4.4290 0.025286 69,283335 0 0x0000
4.6410 0.023783 65,165140 0 0x0000
4.8320 0.023783 65,165140 1 0x0000
5.0370 0.022215 60,869257 1 0x0000
5.3030 0.020682 56,667444 1 0x0000
5.4350 0.023493 64,370768 1 0x0000
5.6410 0.022139 60,660212 1 0x0000
5.8360 0.022814 62,510264 1 0x0000
6.0370 0.027811 76,202738 1 0x0000
6.2430 0.023283 63,795893 1 0x0000
6.4440 0.020456 56,050760 1 0x0000
6.6420 0.020209 55,371363 1 0x0000
6.8450 0.023039 63,126948 1 0x0000
7.1340 0.022040 60,388453 1 0x0000
7.2430 0.023134 63,388254 1 0x0000
7.4510 0.023134 63,388254 2 0x0000
7.6440 0.020186 55,308649 2 0x0000
7.8460 0.018881 51,733973 2 0x0000
8.0560 0.023504 64,402125 2 0x0000
8.2500 0.023501 64,391672 2 0x0000
8.4480 0.023024 63,085139 2 0x0000
8.6550 0.020415 55,935786 2 0x0000
8.8520 0.022558 61,809962 2 0x0000
9.0520 0.025465 69,774592 2 0x0000
9.3370 0.025465 69,774592 3 0x0000
9.5230 0.023237 63,670466 3 0x0000
9.6610 0.021513 58,946039 3 0x0000
9.8610 0.020739 56,824229 3 0x0000
10.0590 0.021540 59,019205 3 0x0000
10.2580 0.022898 62,740214 3 0x0000
10.4600 0.023634 64,757502 3 0x0000
10.6630 0.024553 67,276499 3 0x0000
10.8640 0.019037 52,162516 3 0x0000
11.0650 0.022635 62,019007 3 0x0000
11.3750 0.021815 59,771769 3 0x0000
11.4660 0.017367 47,584421 3 0x0000
11.6660 0.016993 46,560099 3 0x0000
11.9210 0.023939 65,593683 3 0x0000
12.0740 0.021261 58,256190 3 0x0000
12.2690 0.019194 52,591059 3 0x0000
12.4690 0.021517 58,956492 3 0x0000
12.6700 0.019201 52,611964 3 0x0000
12.8740 0.019167 52,517893 3 0x0000
13.0720 0.016337 44,762308 3 0x0000
13.3670 0.015070 41,292155 3 0x0000
13.4750 0.015459 42,358286 3 0x0000
13.6780 0.014273 39,107630 3 0x0000
13.8780 0.012587 34,487726 3 0x0000
14.0810 0.012587 34,487726 4 0x0000
14.2790 0.009756 26,732142 4 0x0000
14.4800 0.014395 39,442103 4 0x0000
